id,title,authors,year,journal,journal_tier,doi,citations,topics,priority,notes_zh,data_zh,method_zh,nber_wp,read_status,added_date
clayton_coppola_maggiori_2025,Geoeconomic Pressure,Christopher Clayton; Antonio Coppola; Matteo Maggiori; Jesse Schreger,2025,National Bureau of Economic Research,WP,10.3386/w34020,4,"T1, T5",core,用LLM量化分析企业财报电话会议，发现受关税影响的企业主要以调价应对，而受出口管制影响的企业转向加大研发投入。施压方/受压方/第三方国家的企业反应异质性显著。多个开源模型间分类一致性检验量化了LLM方法的测量误差。Maggiori团队地缘经济三部曲之实证篇。,大规模文本语料库（企业财报电话会议记录 earnings call transcripts），多个开源LLM模型分类结果交叉验证,LLM文本分析——用大语言模型系统识别地缘经济压力事件（施压国→目标→工具→企业→产品），跨模型/跨prompt的robustness检验量化测量不确定性,w34020,unread,2026-03-29
clayton_maggiori_schreger_2025b,Putting Economics Back Into Geoeconomics,Christopher Clayton; Matteo Maggiori; Jesse Schreger,2025,National Bureau of Economic Research,WP,10.3386/w33681,6,"T1, T5",core,地缘经济学的方法论宣言——梳理政治学中权力概念与经济学分析工具如何交汇，指出经济威胁的建模方式和有效性渠道，提出若干核心开放问题。与WP33309（理论模型）和WP34020（LLM实证）构成三部曲。,无（理论与综述论文）,理论框架——用简单博弈论工具建模不同类型的经济威胁（coercion），讨论威胁有效性的渠道,w33681,unread,2026-03-29
clayton_maggiori_schreger_2024,A Theory of Economic Coercion and Fragmentation,C.R.I. Clayton; Matteo Maggiori; Jesse Schreger,2024,National Bureau of Economic Research,WP,10.3386/w33309,23,"T1, T5",core,权力是非线性的——霸权国越接近垄断某部门投入品供给，其权力不成比例地增大。估算显示美国地缘经济权力依赖金融服务、中国依赖制造业。少量关键部门的供应来源多元化即可大幅降低安全风险而无需大规模碎片化。23引用，该库最高引论文。,跨国金融服务与制造业投入产出数据，估算美国地缘经济权力依赖金融服务、中国依赖制造业的非线性权力函数,一般均衡理论模型——外部规模经济与专业化使霸权国的经济关系难以替代；经济安全政策导致碎片化；非线性权力函数的校准估算,w33309,unread,2026-03-29
fisman_marcolongo_wu_2025,The Undoing of Economic Sanctions: Evidence from the Russia-Ukraine Conflict,Raymond Fisman; Giovanna Marcolongo; Meng Wu,2025,National Bureau of Economic Research,WP,10.3386/w34097,0,T1,core,乌克兰2017年封锁顿巴斯后，俄方报告无烟煤进口激增而乌方报告出口为零——镜像统计缺口揭示顿巴斯煤经俄罗斯转运的规避路径。俄罗斯贸易商以低价收购顿巴斯煤再以市场价卖回乌克兰，获取买方垄断租金。地理相邻非参与国瓦解制裁效力的经典案例。,乌克兰-俄罗斯双边无烟煤(anthracite)贸易的镜像统计(mirror statistics)——对比双方各自报告的进出口数据(2014-2022)及价格数据,镜像统计差异分析——乌方报告出口为零而俄方报告进口激增的缺口识别制裁规避转运，价格分析识别俄罗斯贸易商的买方垄断租金,w34097,unread,2026-03-29
egorov_korovkin_makarin_2025,Trade Sanctions against Russia: Stylized Facts,Konstantin Egorov; Vasily Korovkin; Alexey Makarin; Dzhamilya Nigmatulina,2025,AEA Papers and Proceedings,T2,10.1257/pandp.20251085,6,T1,core,四个关键事实：(1)制裁覆盖俄战前进口的33%；(2)集中于高科技品类但同品类内大量未被制裁；(3)各国具体制裁产品清单差异大，尽管有协调努力；(4)多数制裁国已禁止绝大部分战前对俄出口，未来加码空间有限。新建的制裁数据集本身就是重要贡献。AEA P&P发表。,新建全面数据集：2022年后各制裁国对俄出口制裁的HS编码×国家×时间级别覆盖（逐产品逐国家编码）,描述性统计——逐产品逐国家编码制裁覆盖范围，计算覆盖率/跨国协调度/剩余政策空间,,unread,2026-03-29
chinn_frankel_ito_2025,"Reserves, Sanctions and Tariffs in a Time of Uncertainty",Menzie Chinn; Jeffrey A. Frankel; Hiro Ito,2025,National Bureau of Economic Research,WP,10.3386/w34177,0,"T1, T2",core,金融制裁和贸易政策不确定性对美元储备份额有统计和经济显著的负面影响。2018关税冲击使美元份额下降约2.1%但统计不显著。Chinn-Frankel-Ito(经典国际金融三人组)对储备多元化地缘政治驱动因素的首次系统估计。,1999-2022年各国央行国际储备币种构成(COFER+数据)，联合国投票分歧、军事联盟、金融/贸易制裁数据，EPU/VIX/美国贸易政策不确定性指标,面板回归——被解释变量为各币种储备份额，解释变量含经济基本面+地缘政治变量(UN投票/军事联盟/制裁)+宏观不确定性指标,w34177,unread,2026-03-29
arslanalp_eichengreen_2025,Our Underappreciated International Reserve System,Serkan Arslanalp; Barry Eichengreen; Chima Simpson-Bell,2025,National Bureau of Economic Research,WP,10.3386/w34478,0,T1,recommended,三个被低估的趋势：黄金在央行储备中份额持续上升、非传统储备货币崛起、人民币份额增长停滞。前瞻性讨论美元锚定稳定币、BRICS去美元化计划和mBridge央行数字货币平台的潜在系统性影响。Eichengreen储备体系研究系列的最新篇章。,IMF COFER储备数据，央行个案数据（黄金储备/非传统储备货币/人民币储备/稳定币/mBridge/BRICS成员国储备）,描述性趋势分析——延续Arslanalp-Eichengreen此前系列论文的数据分析框架，增加2024-25新数据和前瞻性讨论,w34478,unread,2026-03-29
eichengreen_razo_garcia_2025,The International Monetary System in the Last and Next 20 Years Redux,Barry Eichengreen; Raul Razo‐Garcia,2025,National Bureau of Economic Research,WP,10.3386/w34416,1,T1,recommended,Eichengreen回访其20年前对国际货币体系的预测，评估哪些准确、哪些偏差，展望未来20年美元地位与体系演变。无摘要——需阅读全文。,历史国际货币体系数据（具体数据待读全文确认——无摘要）,综述与前瞻分析（具体方法待读全文确认——无摘要）,w34416,unread,2026-03-29
mcleay_tenreyro_2025,Dollar Dominance and the Transmission of Monetary Policy,Michael McLeay; Silvana Tenreyro,2025,The Quarterly Journal of Economics,T1,10.1093/qje/qjaf043,2,T1,recommended,挑战'美元定价使货币政策失效'的流行观点：数据显示美元定价商品反而价格更灵活、替代弹性更高。即使出口以美元定价，本币贬值仍能实质性提振出口——扩张的极限是供给能力而非需求。低汇率传递是高需求弹性下的均衡结果，而非名义摩擦。QJE发表。,跨国商品级价格数据——美元定价商品的价格调整频率与替代弹性实证测量,开放经济DSGE模型——放松'美元定价=价格刚性'的标准假设，引入更现实的价格灵活性和高替代弹性参数，与微观数据对比验证,,unread,2026-03-29
crippa_kalyanpur_newman_2026,Financial Sanction Spillovers and Firm Interdependence,Lorenzo Crippa; Nikhil Kalyanpur; Abraham L. Newman,2026,The Journal of Politics,T3,10.1086/740171,0,T1,core,Newman继weaponized interdependence(2019)后研究金融制裁沿企业间关联网络的溢出效应——制裁如何通过供应链/金融关系传导至非目标企业和非目标国。JOP发表。无摘要——需阅读全文确认方法论。,企业间关联网络数据+金融制裁事件数据（具体数据待读全文确认——无摘要）,待确认——可能使用网络分析识别制裁沿企业间供应链/金融关联的溢出效应（无摘要）,,unread,2026-03-29
