CN编号,日期,武器系统,可能承包商,证据等级,判断依据,来源URL
20-07,2020-05-20,18 Mk-48 Mod6 AT torpedoes,Lockheed Martin; SAIC,B,美国海军 MK 48 事实页直接列出 Contractor 为 Lockheed Martin 和 SAIC；本案型号与 DSCA 标题一致。,https://www.navy.mil/Resources/Fact-Files/Display-FactFiles/Article/2167907/mk-48-heavyweight-torpedo/
20-24,2020-07-09,PAC-3 missile recertification,Lockheed Martin; RTX/Raytheon,C,PAC-3 导弹由 Lockheed Martin 生产，但 'recertification' 属于 Patriot 体系维保/寿命管理，通常同时涉及 PAC-3 导弹与 Patriot 系统支持，故列 Lockheed Martin 与 Raytheon。,https://www.lockheedmartin.com/en-us/products/pac-3-advanced-air-defense-missile.html
20-75,2020-10-22,MS-110 recon pods,Collins Aerospace,B,MS-110 多光谱侦察系统为 Collins Aerospace 官方产品，DSCA 标题与官方型号完全对应。,https://www.collinsaerospace.com/-/media/CA/product-assets/marketing/a/airborne-reconnaissance/19-1311-01_ms-110_f16-ds-job-7047_low-res.pdf?rev=6551251a66e24651aeaec662719a4da0
20-69,2020-10-22,AGM-84H SLAM-ER missiles,Boeing,B,SLAM-ER 属于 Boeing Precision Engagement Systems 产品线，官方武器页与产品卡均列示。,https://www.boeing.com/content/dam/boeing/boeingdotcom/defense/weapons-weapons/images/SLAM-ER-Product-Card.pdf
20-77,2020-10-22,HIMARS + ATACMS,Lockheed Martin,B,HIMARS 与 ATACMS 均由 Lockheed Martin 官方产品页列示并由其生产。,https://www.lockheedmartin.com/us/products/himars.html | https://www.lockheedmartin.com/en-us/products/army-tactical-missile-system-block-ia-unitary-atacms.html
20-68,2020-10-26,Harpoon Coastal Defense,Boeing,B,Harpoon 属于 Boeing Precision Engagement Systems 产品线；海岸防御版本仍对应 Harpoon 家族。,https://www.boeing.com/defense/weapons/
20-74,2020-11-03,MQ-9B drones,General Atomics Aeronautical Systems,B,MQ-9B SkyGuardian 为 General Atomics Aeronautical Systems 官方产品。,https://www.ga-asi.com/mq-9b
20-87,2020-12-07,FICS communications,暂无（公开竞争）,C,国会记录版 DSCA 通知明确写明 principal contractor 将通过竞争程序确定，因此不能把 General Dynamics 直接当作已确认承包商；最多只能视作 IMSE 既有链条上的候选厂商。,https://www.congress.gov/116/crec/2020/12/07/CREC-2020-12-07-pt1-PgS7237.pdf | https://www.afcea.org/signal-media/general-dynamics-supports-taiwans-mobile-subscriber-equipment
21-44,2021-08-04,M109A6 Paladin howitzers,BAE Systems,B,M109 系列 Paladin 自走炮长期由 BAE Systems 生产与升级。,https://www.baesystems.com/en/article/2017-full-year-results
21-66,2022-02-07,Patriot engineering services,RTX/Raytheon; Lockheed Martin,A,国会记录版 DSCA 通知直接写明 principal contractor 为 Raytheon Technologies，另列 Lockheed Martin Missiles and Fire Control 作为涉及 PAC-3 能力的相关厂商。,https://www.congress.gov/117/crec/2022/02/07/168/24/CREC-2022-02-07-senate.pdf
