"美方军售日期","军售内容","可能承包商","美方URL","中方外交回应日期","中方对应制裁日期","制裁清单名称","制裁内容","中方URL","该军售类型"
"2020-05-20","MK-48 重型鱼雷","Lockheed Martin; SAIC","https://www.federalregister.gov/documents/2020/07/17/2020-15497/arms-sales-notification","2020-07-14","2020-07-14","外交部反制裁清单","外交部宣布对洛克希德·马丁公司实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml","海军装备"
"2020-07-09","PAC-3 防空导弹重新认证/延寿","Lockheed Martin; RTX/Raytheon","https://www.federalregister.gov/documents/2020/08/26/2020-18784/arms-sales-notification","2020-07-14","2020-07-14","外交部反制裁清单","外交部宣布对洛克希德·马丁公司实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml","防空反导"
"2020-10-22","AGM-84H SLAM-ER 空地导弹","Boeing","https://www.federalregister.gov/documents/2020/12/11/2020-27298/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","外交部宣布对波音防务、空间与安全实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","导弹与弹药"
"2020-10-22","MS-110 侦察吊舱","Collins Aerospace","https://www.federalregister.gov/documents/2020/12/17/2020-27732/arms-sales-notification","2020-10-26","","外交部口头声明（未见名单制裁）","外交部就 10 月 21 日美国对台军售表示坚决反对，并宣布将对同批涉售武的洛马、波音、雷神等企业实施制裁；未直接点名 Collins Aerospace。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","雷达与侦察"
"2020-10-22","HIMARS 火箭炮与 ATACMS 战术导弹","Lockheed Martin","https://www.federalregister.gov/documents/2020/12/17/2020-27716/arms-sales-notification","2020-07-14","2020-07-14","外交部反制裁清单","按集团首次被反制口径，洛克希德·马丁集团已于 2020-07-14 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml","火炮与地面装备"
"2020-10-26","鱼叉岸防反舰导弹系统","Boeing","https://www.federalregister.gov/documents/2020/12/11/2020-27292/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","外交部宣布对波音防务、空间与安全实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","海军装备"
"2020-11-03","MQ-9B 大型无人机","General Atomics Aeronautical Systems","https://www.federalregister.gov/documents/2020/12/17/2020-27709/arms-sales-notification","2024-04-11","2024-04-11","外交部反制裁清单","外交部宣布对通用原子航空系统实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/web/wjb_673085/zfxxgk_674865/gknrlb/fzcqdcs/202404/t20240411_11280056.shtml","无人机"
"2020-12-07","野战信息通信系统（FICS）","待核实（公开竞争；或涉 IMSE 既有承包商 General Dynamics）","https://www.federalregister.gov/documents/2020/12/22/2020-28201/arms-sales-notification","2024-04-11","2024-04-11","外交部反制裁清单","按集团首次被反制口径，通用动力集团已于 2024-04-11 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/web/wjb_673085/zfxxgk_674865/gknrlb/fzcqdcs/202404/t20240411_11280056.shtml","通信与数据链"
"2021-08-04","M109A6“帕拉丁”自行榴弹炮","BAE Systems","https://www.federalregister.gov/documents/2023/03/22/2023-05825/arms-sales-notification","2024-01-07","2024-01-07","外交部反制裁清单","外交部宣布对BAE系统陆战与武器实施反制裁，理由：参与对台军售。","https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202401/t20240107_11219408.shtml","火炮与地面装备"
"2022-02-07","“爱国者”系统工程服务","RTX/Raytheon; Lockheed Martin","https://www.federalregister.gov/documents/2023/09/27/2023-21054/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","按集团已被反制口径，洛克希德·马丁集团、雷神集团分别已于 2020-07-14、2020-10-26 被外交部反制；就该联合军售案，可视为相关集团此前均已被中方反制。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202007/t20200714_5419120.shtml | https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","防空反导"
"2022-04-05","“爱国者”系统承包商技术支援","RTX/Raytheon","https://www.federalregister.gov/documents/2024/05/16/2024-10607/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","按集团首次被反制口径，雷神集团已于 2020-10-26 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","防空反导"
"2022-06-08","舰艇备件","待核实（美国海军库存/合格供应商体系）","https://www.federalregister.gov/documents/2024/05/24/2024-11526/arms-sales-notification","2022-06-09","","外交部口头声明（未见名单制裁）","外交部表示坚决反对，敦促美方撤销上述对台军售计划，停止售台武器和美台军事联系。","https://www.fmprc.gov.cn/web/fyrbt_673021/jzhsl_673025/202206/t20220609_10700965.shtml","海军装备"
"2022-07-15","地面装备承包商技术支援与备件服务","待核实（DLA 批准供应商框架）","https://www.federalregister.gov/documents/2024/06/06/2024-12390/arms-sales-notification","2022-07-19","","外交部口头声明（未见名单制裁）","外交部表示坚决反对，敦促美方立即停止售台武器和美台军事联系，停止制造台海局势紧张因素。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202207/t20220719_10723410.shtml","备件与后勤维保"
"2022-09-02","监视雷达项目后勤保障","RTX/Raytheon","https://www.federalregister.gov/documents/2024/06/28/2024-14188/arms-sales-notification","2020-10-26","2020-10-26","外交部反制裁清单","按集团首次被反制口径，雷神集团已于 2020-10-26 被外交部反制，可视为该军售对应集团已被中方反制。","https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202010/t20201026_5419454.shtml","雷达与侦察"
