日期,武器/服务,金额(百万美元),来源
2020-05-20,18 Mk-48 Mod6 AT torpedoes,180,FR(CN 20-07)
2020-07-09,PAC-3 missile recertification,620,FR(CN 20-24)
2020-10-22,MS-110 recon pods,367,DSCA/Wikipedia
2020-10-22,AGM-84H SLAM-ER missiles,1008,DSCA/Wikipedia
2020-10-22,HIMARS + ATACMS,436,DSCA/Wikipedia
2020-10-26,Harpoon Coastal Defense,2370,FR(CN 20-68)
2020-11-03,MQ-9B drones,600,DSCA/Wikipedia
2020-12-07,FICS communications,280,DSCA/Wikipedia
2021-08-04,M109A6 Paladin howitzers,750,FR(CN 21-44)
2022-02-07,Patriot engineering services,100,DSCA/Wikipedia
2022-04-05,Patriot contractor tech assist,95,FR+DSCA Library(CN 22-16)
2022-06-08,Ship spare parts,120,DSCA/Wikipedia
2022-07-15,Contractor tech assist support,108,DSCA/Wikipedia
2022-09-02,Surveillance Radar CLS,665,DSCA/Wikipedia
2022-09-02,Harpoon Block II missiles,355,DSCA Library(CN 22-45)
2022-09-02,AIM-9X Sidewinder missiles,86,DSCA/Wikipedia
2022-12-06,Aircraft standard spare parts,330,DSCA/Wikipedia
2022-12-06,Aircraft non-standard spares,98,DSCA/Wikipedia
2022-12-28,Volcano anti-tank munitions,180,DSCA/Wikipedia
2023-03-01,HARM + AMRAAM missiles,619,DSCA/Wikipedia
2023-06-29,Vehicle/weapon spare parts,108,DSCA/Wikipedia
2023-06-29,30mm ammunition for CM-32,332,FR(CN 23-44)
2023-08-23,F-16 IRST system,500,DSCA/Wikipedia
2023-12-15,C4 Life Cycle Support,300,DSCA/Wikipedia
2024-02-21,Tactical Data Link upgrade,75,DSCA/Wikipedia
2024-06-05,F-16 spare/repair parts,300,DSCA/Wikipedia
2024-06-18,Switchblade 300,60,DSCA/Wikipedia
2024-06-18,ALTIUS 600M-V UAVs,300,DSCA/Wikipedia
2024-09-16,Aircraft spare parts,228,DSCA/Wikipedia
2024-10-25,NASAMS air defense,1160,DSCA/Wikipedia
2024-10-25,AN/TPS-77/78 radar,828,DSCA/Wikipedia
2024-12-20,MK 75 76mm gun mounts,30,DSCA官网(CN 25-01)
2024-12-20,C4 Modernization MIDS JTRS,265,DSCA官网(CN 25-04)
2025-11-13,Non-standard spares F-16/C-130/IDF,330,DSCA官网(CN 25-73)
2025-12-17,ALTIUS-700M + ALTIUS-600,1100,DSCA官网(CN 26-09)
2025-12-17,Harpoon repair follow-on,91,DSCA官网(CN 26-07)
2025-12-17,Javelin missiles,375,DSCA官网(CN 26-06)
2025-12-17,TOW missile system,353,DSCA官网
2025-12-17,HIMARS + ATACMS + GMLRS,4050,DSCA官网(CN 26-01)
2025-12-17,M109A7 howitzers,4030,DSCA官网
2025-12-17,AH-1W helo spare parts,96,DSCA官网(CN 25-93)
2025-12-17,Tactical Mission Network,1010,DSCA官网(CN 25-56)
